"Innehavare av positionen 
(Position holder)","Namn på emittent 
(Name of the issuer)",ISIN,Position i procent (Position in per cent),"Datum för positionen 
(Position date)",Kommentar (Comment)
Citadel Advisors LLC,Tobii AB,SE0002591420,"0,55",2022-05-05,
Citadel Advisors LLC,Bulten AB,SE0003849223,"<0,5",2022-05-05,
Citadel Advisors LLC,Fingerprint Cards AB,SE0008374250,"0,51",2022-05-05,
Sandbar Asset Management LLP,"AUTOLIV, INC.",SE0000382335,"1,4",2022-05-05,
Voleon Capital Management LP,Betsson AB,SE0015672282,"0,65",2022-05-04,
Mirabella Financial Services LLP,Securitas AB,SE0000163594,"0,59",2022-05-04,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,9",2022-05-04,
Parvus Asset Management Europe Limited,BHG Group AB,SE0010948588,"<0,5",2022-05-04,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"1,23",2022-05-04,
AHL Partners LLP,Sinch AB (publ),SE0016101844,"0,51",2022-05-04,
BlackRock Investment Management (UK) Limited,Intrum AB,SE0000936478,"0,5",2022-05-04,
BlackRock Investment Management (UK) Limited,H & M Hennes & Mauritz AB,SE0000106270,"0,5",2022-05-04,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget SKF,SE0000108227,"0,5",2022-05-04,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Securitas AB,SE0000163594,"0,54",2022-05-04,
THUNDERBIRD PARTNERS LLP,Thule Group AB,SE0006422390,"0,6",2022-05-04,
CapeView Capital LLP,BICO Group AB,SE0013647385,"1,03",2022-05-04,
THUNDERBIRD PARTNERS LLP,Mips AB,SE0009216278,"0,53",2022-05-04,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"0,73",2022-05-04,
AKO Capital LLP,Mips AB,SE0009216278,"0,65",2022-05-04,
Citadel Advisors LLC,SAS AB,SE0003366871,1,2022-05-04,
Citadel Advisors LLC,Securitas AB,SE0000163594,"0,55",2022-05-04,
Arrowstreet Capital Limited Partnership,Boozt AB,SE0009888738,"<0,5",2022-05-04,
ELEVA CAPITAL S.A.S,BHG Group AB,SE0010948588,"<0,5",2022-05-04,
Astaris Capital Management LLP,SAS AB,SE0003366871,"0,74",2022-05-04,
Point72 Europe (London) LLP,Sinch AB (publ),SE0016101844,"0,74",2022-05-03,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,83",2022-05-03,
WORLDQUANT LLC,Tobii AB,SE0002591420,"<0,5",2022-05-03,
Marshall Wace LLP,KINDRED GROUP PLC,SE0007871645,"0,55",2022-05-03,
Marshall Wace LLP,Hexatronic Group AB,SE0002367797,"1,48",2022-05-03,
Marshall Wace LLP,Hansa Biopharma AB,SE0002148817,"<0,5",2022-05-03,
BlackRock Investment Management (UK) Limited,Aktiebolaget Electrolux,SE0016589188,"1,22",2022-05-03,
JPMorgan Asset Management (UK) Ltd,G5 Entertainment AB (publ),SE0001824004,"1,39",2022-05-03,
WORLDQUANT LLC,Clas Ohlson Aktiebolag,SE0000584948,"0,59",2022-05-03,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,78",2022-05-03,
Citadel Advisors Europe Limited,Aktiebolaget Electrolux,SE0016589188,"0,8",2022-05-03,
Citadel Advisors Europe Limited,SSAB AB,SE0000120669,"1,11",2022-05-03,
Kuvari Partners LLP,Storskogen Group AB (publ),SE0016797732,"0,85",2022-05-03,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,97",2022-05-03,
Citadel Advisors LLC,SAS AB,SE0003366871,"0,99",2022-05-03,
Citadel Advisors LLC,Avanza Bank Holding AB,SE0012454072,"0,54",2022-05-03,
Citadel Advisors LLC,Bulten AB,SE0003849223,"0,51",2022-05-03,
Voleon Capital Management LP,Tobii AB,SE0002591420,"<0,5",2022-05-03,
Viking Global Investors LP,Telia Company AB,SE0000667925,"0,69",2022-05-03,
Arrowstreet Capital Limited Partnership,Sinch AB (publ),SE0016101844,"0,5",2022-05-03,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget SKF,SE0000108227,"<0,5",2022-05-02,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,77",2022-05-02,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"1,14",2022-05-02,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"1,48",2022-05-02,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,8",2022-05-02,
Kontiki Capital Management (HK) Limited,Elekta AB (publ),SE0000163628,"0,56",2022-05-02,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,88",2022-05-02,
Citadel Advisors Europe Limited,H & M Hennes & Mauritz AB,SE0000106270,"0,7",2022-05-02,
Citadel Advisors Europe Limited,Aktiebolaget Electrolux,SE0016589188,"0,7",2022-05-02,
AKO Capital LLP,Mips AB,SE0009216278,"0,51",2022-05-02,
BlackRock Investment Management (UK) Limited,Aktiebolaget Electrolux,SE0016589188,"1,17",2022-04-29,
BlackRock Investment Management (UK) Limited,Sinch AB (publ),SE0016101844,"0,9",2022-04-29,
JPMorgan Asset Management (UK) Ltd,Storytel AB (publ),SE0007439443,"0,89",2022-04-29,
Point72 Europe (London) LLP,Sinch AB (publ),SE0016101844,"0,89",2022-04-29,
Kairos Investment Management Limited,SAS AB,SE0003366871,"0,99",2022-04-29,
Marshall Wace LLP,Hexatronic Group AB,SE0002367797,"1,55",2022-04-29,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"1,09",2022-04-29,
Marshall Wace LLP,Boozt AB,SE0009888738,"0,61",2022-04-29,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Securitas AB,SE0000163594,"<0,5",2022-04-29,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget SKF,SE0000108227,"0,5",2022-04-29,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"0,67",2022-04-29,
Sandbar Asset Management LLP,Dometic Group AB (publ),SE0007691613,"<0,5",2022-04-29,
Sandbar Asset Management LLP,Aktiebolaget SKF,SE0000108227,"1,21",2022-04-29,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"0,9",2022-04-29,
AHL Partners LLP,Stillfront Group AB (publ),SE0015346135,"0,8",2022-04-29,
Citadel Advisors Europe Limited,SSAB AB,SE0000120669,"1,08",2022-04-29,
AKO Capital LLP,Sinch AB (publ),SE0016101844,"0,52",2022-04-29,
Citadel Advisors LLC,SAS AB,SE0003366871,1,2022-04-29,
Citadel Advisors LLC,Bulten AB,SE0003849223,"<0,5",2022-04-29,
Citadel Advisors LLC,Powercell Sweden AB (publ),SE0006425815,"0,55",2022-04-29,
Viking Global Investors LP,Telia Company AB,SE0000667925,"0,79",2022-04-29,
Voleon Capital Management LP,G5 Entertainment AB (publ),SE0001824004,"0,53",2022-04-29,
Kintbury Capital LLP,Aktiebolaget Electrolux,SE0016589188,"0,81",2022-04-29,
Point72 Europe (London) LLP,Sinch AB (publ),SE0016101844,"0,75",2022-04-28,
TFG Asset Management UK LLP,Scandic Hotels Group AB,SE0007640156,"3,38",2022-04-28,
WORLDQUANT LLC,BICO Group AB,SE0013647385,"<0,5",2022-04-28,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,71",2022-04-28,
ALCUR FONDER AB,Kinnevik AB,SE0015810247,"0,62",2022-04-28,
Sandbar Asset Management LLP,Dometic Group AB (publ),SE0007691613,"0,61",2022-04-28,
Citadel Advisors Europe Limited,SSAB AB,SE0000120669,"1,1",2022-04-28,
Citadel Advisors LLC,SAS AB,SE0003366871,"0,98",2022-04-28,
Citadel Advisors LLC,Powercell Sweden AB (publ),SE0006425815,"0,63",2022-04-28,
Viking Global Investors LP,Telia Company AB,SE0000667925,"0,83",2022-04-28,
Voleon Capital Management LP,Mips AB,SE0009216278,"0,79",2022-04-28,
Tenzing Global Management LLC,Mips AB,SE0009216278,"0,84",2022-04-28,
AKO Capital LLP,Elekta AB (publ),SE0000163628,"0,97",2022-04-28,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,79",2022-04-27,
GREENVALE CAPITAL LLP,Aktiebolaget Electrolux,SE0016589188,"0,77",2022-04-27,
Franklin Templeton Investment Management Limited,BICO Group AB,SE0013647385,"0,65",2022-04-27,
WORLDQUANT LLC,Tobii AB,SE0002591420,"0,58",2022-04-27,
Parvus Asset Management Europe Limited,BHG Group AB,SE0010948588,"1,02",2022-04-27,
59 North Capital Management LP,Intrum AB,SE0000936478,"0,69",2022-04-27,
Marshall Wace LLP,Hansa Biopharma AB,SE0002148817,"0,5",2022-04-27,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"0,96",2022-04-27,
Marshall Wace LLP,Boozt AB,SE0009888738,"0,56",2022-04-27,
WORLDQUANT LLC,BICO Group AB,SE0013647385,"0,51",2022-04-27,
Qube Research & Technologies Limited,KINDRED GROUP PLC,SE0007871645,"0,5",2022-04-27,
Linden Advisors LP,Scandic Hotels Group AB,SE0007640156,"1,45",2022-04-27,
Kuvari Partners LLP,Storskogen Group AB (publ),SE0016797732,"0,72",2022-04-27,
CapeView Capital LLP,BICO Group AB,SE0013647385,"0,93",2022-04-27,
Sandbar Asset Management LLP,Aktiebolaget SKF,SE0000108227,"1,18",2022-04-27,
Sandbar Asset Management LLP,Dometic Group AB (publ),SE0007691613,"0,55",2022-04-27,
AKO Capital LLP,Thule Group AB,SE0006422390,"1,65",2022-04-27,
Citadel Advisors Europe Limited,Avanza Bank Holding AB,SE0012454072,"0,8",2022-04-27,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"0,84",2022-04-27,
Citadel Advisors LLC,Avanza Bank Holding AB,SE0012454072,"<0,5",2022-04-27,
Carmignac Gestion,BHG Group AB,SE0010948588,"<0,5",2022-04-27,
PDT Partners LLC,BICO Group AB,SE0013647385,"<0,5",2022-04-27,
Gladstone Capital Management LLP,Sinch AB (publ),SE0016101844,"0,5",2022-04-27,
JPMorgan Asset Management (UK) Ltd,G5 Entertainment AB (publ),SE0001824004,"1,43",2022-04-26,
Lansdowne Partners (UK) LLP,Hoist Finance AB (publ),SE0006887063,"0,98",2022-04-26,
GREENVALE CAPITAL LLP,Aktiebolaget Electrolux,SE0016589188,"0,6",2022-04-26,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Securitas AB,SE0000163594,"0,51",2022-04-26,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,62",2022-04-26,
Kuvari Partners LLP,Storskogen Group AB (publ),SE0016797732,"0,66",2022-04-26,
AHL Partners LLP,Stillfront Group AB (publ),SE0015346135,"0,72",2022-04-26,
Sandbar Asset Management LLP,"AUTOLIV, INC.",SE0000382335,"1,38",2022-04-26,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"0,74",2022-04-26,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,71",2022-04-26,
Sandbar Asset Management LLP,Dometic Group AB (publ),SE0007691613,"0,71",2022-04-26,
PDT Partners LLC,BICO Group AB,SE0013647385,"0,52",2022-04-26,
Voleon Capital Management LP,CATENA MEDIA P.L.C,MT0001000109,"0,89",2022-04-26,
Voleon Capital Management LP,Betsson AB,SE0015672282,"0,59",2022-04-26,
Astaris Capital Management LLP,SAS AB,SE0003366871,"0,64",2022-04-26,
Kintbury Capital LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,65",2022-04-26,
Kintbury Capital LLP,Aktiebolaget Electrolux,SE0016589188,"0,63",2022-04-26,
Lansdowne Partners (UK) LLP,Hoist Finance AB (publ),SE0006887063,"1,12",2022-04-26,
BlackRock Investment Management (UK) Limited,Aktiebolaget Electrolux,SE0016589188,"1,43",2022-04-25,
Marshall Wace LLP,Trelleborg AB,SE0000114837,"0,7",2022-04-25,
Marshall Wace LLP,Embracer Group AB,SE0016828511,"0,6",2022-04-25,
Marshall Wace LLP,BHG Group AB,SE0010948588,"1,22",2022-04-25,
Marshall Wace LLP,Avanza Bank Holding AB,SE0012454072,"<0,5",2022-04-25,
Marble Bar Asset Management LLP,Storytel AB (publ),SE0007439443,"0,83",2022-04-25,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,55",2022-04-25,
Sandbar Asset Management LLP,"AUTOLIV, INC.",SE0000382335,"1,41",2022-04-25,
Sandbar Asset Management LLP,Aktiebolaget SKF,SE0000108227,1,2022-04-25,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,65",2022-04-25,
Citadel Advisors Europe Limited,Avanza Bank Holding AB,SE0012454072,"0,78",2022-04-25,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"0,8",2022-04-25,
Citadel Advisors Europe Limited,Aktiebolaget Electrolux,SE0016589188,"0,6",2022-04-25,
ALCUR FONDER AB,JM AB,SE0000806994,"<0,5",2022-04-25,
Citadel Advisors LLC,Avanza Bank Holding AB,SE0012454072,"0,5",2022-04-25,
Voleon Capital Management LP,Boozt AB,SE0009888738,"<0,5",2022-04-25,
AQR Capital Management LLC,Beijer Ref AB (publ),SE0015949748,"<0,5",2022-04-22,
Lansdowne Partners (UK) LLP,Hoist Finance AB (publ),SE0006887063,"1,21",2022-04-22,
Marshall Wace LLP,Modern Times Group MTG AB,SE0000412371,"0,6",2022-04-22,
JPMorgan Asset Management (UK) Ltd,G5 Entertainment AB (publ),SE0001824004,"1,3",2022-04-22,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"1,01",2022-04-22,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"1,51",2022-04-22,
Marshall Wace LLP,Avanza Bank Holding AB,SE0012454072,"0,52",2022-04-22,
ALCUR FONDER AB,Kinnevik AB,SE0015810247,"0,52",2022-04-22,
Citadel Advisors Europe Limited,Aktiebolaget Electrolux,SE0016589188,"0,83",2022-04-22,
Sandbar Asset Management LLP,"AUTOLIV, INC.",SE0000382335,"1,32",2022-04-22,
Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,"<0,5",2022-04-22,
AKO Capital LLP,Essity Aktiebolag (publ),SE0009922164,"<0,5",2022-04-22,
AKO Capital LLP,Aktiebolaget Electrolux,SE0016589188,"1,51",2022-04-22,
Arrowstreet Capital Limited Partnership,Smart Eye Aktiebolag (publ),SE0009268279,"0,7",2022-04-22,
MCP (Switzerland) Sarl,Coala-Life Group AB (publ),SE0017083983,"<0,5",2022-04-21,
JPMorgan Asset Management (UK) Ltd,G5 Entertainment AB (publ),SE0001824004,"1,25",2022-04-21,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"1,49",2022-04-21,
Marshall Wace LLP,Husqvarna AB,SE0001662230,"0,82",2022-04-21,
Marshall Wace LLP,BHG Group AB,SE0010948588,"1,14",2022-04-21,
WORLDQUANT LLC,Clas Ohlson Aktiebolag,SE0000584948,"0,69",2022-04-21,
Qube Research & Technologies Limited,KINDRED GROUP PLC,SE0007871645,"<0,5",2022-04-21,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,62",2022-04-21,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"0,73",2022-04-21,
Sandbar Asset Management LLP,Billerud Aktiebolag (publ),SE0000862997,"0,81",2022-04-21,
Sylebra Capital Limited,Fingerprint Cards AB,SE0008374250,"5,99",2022-04-21,
Kintbury Capital LLP,Kinnevik AB,SE0015810247,"<0,5",2022-04-21,
Arrowstreet Capital Limited Partnership,Stillfront Group AB (publ),SE0015346135,"0,78",2022-04-20,
Arrowstreet Capital Limited Partnership,Smart Eye Aktiebolag (publ),SE0009268279,"0,62",2022-04-20,
Astaris Capital Management LLP,SAS AB,SE0003366871,"0,5",2022-04-20,
ALCUR FONDER AB,JM AB,SE0000806994,"0,52",2022-04-20,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"1,36",2022-04-20,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,68",2022-04-20,
Systematica Investments Limited,JM AB,SE0000806994,"0,51",2022-04-20,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"0,97",2022-04-20,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"0,63",2022-04-20,
Albar Capital Limited,"AUTOLIV, INC.",SE0000382335,"<0,5",2022-04-20,
Citadel Advisors Europe Limited,Avanza Bank Holding AB,SE0012454072,"0,63",2022-04-20,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"0,53",2022-04-20,
CapeView Capital LLP,BICO Group AB,SE0013647385,"0,74",2022-04-20,
Voleon Capital Management LP,Betsson AB,SE0015672282,"0,68",2022-04-20,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,7",2022-04-19,
Marshall Wace LLP,Hexatronic Group AB,SE0002367797,"1,63",2022-04-19,
Marshall Wace LLP,Elekta AB (publ),SE0000163628,"0,58",2022-04-19,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"1,03",2022-04-19,
Marshall Wace LLP,Avanza Bank Holding AB,SE0012454072,"0,65",2022-04-19,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Securitas AB,SE0000163594,"<0,5",2022-04-19,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,51",2022-04-19,
ExodusPoint Capital Management LP,Securitas AB,SE0000163594,"<0,5",2022-04-19,
Citadel Advisors Europe Limited,Aktiebolaget Electrolux,SE0016589188,"0,95",2022-04-19,
Citadel Advisors LLC,SAS AB,SE0003366871,"1,07",2022-04-19,
Citadel Advisors LLC,Bulten AB,SE0003849223,"0,5",2022-04-19,
Carmignac Gestion,BHG Group AB,SE0010948588,"0,52",2022-04-19,
Sylebra Capital Limited,Fingerprint Cards AB,SE0008374250,"6,13",2022-04-19,
AKO Capital LLP,Aktiebolaget Electrolux,SE0016589188,"1,65",2022-04-18,
WORLDQUANT LLC,BHG Group AB,SE0010948588,"<0,5",2022-04-14,
Linden Advisors LP,Scandic Hotels Group AB,SE0007640156,"1,63",2022-04-14,
CapeView Capital LLP,BICO Group AB,SE0013647385,"0,82",2022-04-14,
Sylebra Capital Limited,Fingerprint Cards AB,SE0008374250,"6,23",2022-04-14,
Voleon Capital Management LP,G5 Entertainment AB (publ),SE0001824004,"<0,5",2022-04-14,
Arrowstreet Capital Limited Partnership,Dometic Group AB (publ),SE0007691613,"0,6",2022-04-13,
Acadian Asset Management LLC,Smart Eye Aktiebolag (publ),SE0009268279,"0,78",2022-04-13,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,67",2022-04-13,
WORLDQUANT LLC,Tethys Oil AB,SE0015949847,"<0,5",2022-04-13,
WORLDQUANT LLC,BICO Group AB,SE0013647385,"<0,5",2022-04-13,
Marshall Wace LLP,Hexatronic Group AB,SE0002367797,"1,5",2022-04-13,
Marshall Wace LLP,BHG Group AB,SE0010948588,"1,06",2022-04-13,
CapeView Capital LLP,BICO Group AB,SE0013647385,"0,9",2022-04-13,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"<0,5",2022-04-13,
Carmignac Gestion,Hexatronic Group AB,SE0002367797,"<0,5",2022-04-13,
Sylebra Capital Limited,Fingerprint Cards AB,SE0008374250,"6,33",2022-04-13,
WORLDQUANT LLC,Tethys Oil AB,SE0015949847,"0,55",2022-04-12,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"1,16",2022-04-12,
Marshall Wace LLP,Elekta AB (publ),SE0000163628,"0,69",2022-04-12,
THUNDERBIRD PARTNERS LLP,Thule Group AB,SE0006422390,"0,57",2022-04-12,
Marshall Wace LLP,Trelleborg AB,SE0000114837,"0,61",2022-04-12,
WORLDQUANT LLC,BICO Group AB,SE0013647385,"0,5",2022-04-12,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Securitas AB,SE0000163594,"0,5",2022-04-12,
MCP (Switzerland) Sarl,Coala-Life Group AB (publ),SE0017083983,"0,56",2022-04-12,
Citadel Advisors Europe Limited,H & M Hennes & Mauritz AB,SE0000106270,"0,6",2022-04-12,
Sandbar Asset Management LLP,Aktiebolaget SKF,SE0000108227,"1,19",2022-04-12,
Carmignac Gestion,Hexatronic Group AB,SE0002367797,"0,53",2022-04-12,
Voleon Capital Management LP,CATENA MEDIA P.L.C,MT0001000109,"0,9",2022-04-12,
Capital Fund Management SA,BICO Group AB,SE0013647385,"0,5",2022-04-11,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"1,01",2022-04-11,
Marshall Wace LLP,Hansa Biopharma AB,SE0002148817,"<0,5",2022-04-11,
Marshall Wace LLP,H & M Hennes & Mauritz AB,SE0000106270,"0,8",2022-04-11,
Marshall Wace LLP,Embracer Group AB,SE0016828511,"0,5",2022-04-11,
Marshall Wace LLP,Aktiebolaget Electrolux,SE0016589188,"1,2",2022-04-11,
WORLDQUANT LLC,BHG Group AB,SE0010948588,"0,53",2022-04-11,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"0,51",2022-04-11,
Kuvari Partners LLP,Storskogen Group AB (publ),SE0016797732,"0,56",2022-04-11,
CapeView Capital LLP,BICO Group AB,SE0013647385,"0,85",2022-04-11,
Sandbar Asset Management LLP,Dometic Group AB (publ),SE0007691613,"0,65",2022-04-11,
Sandbar Asset Management LLP,"AUTOLIV, INC.",SE0000382335,"1,07",2022-04-11,
Sandbar Asset Management LLP,Aktiebolaget SKF,SE0000108227,"1,27",2022-04-11,
Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,"0,59",2022-04-11,
Sylebra Capital Limited,Fingerprint Cards AB,SE0008374250,"6,5",2022-04-11,
PARK WEST ASSET MANAGEMENT LLC,Thule Group AB,SE0006422390,"<0,5",2022-04-11,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,52",2022-04-08,
Franklin Templeton Investment Management Limited,Re:NewCell AB,SE0014960431,"1,32",2022-04-08,
Qube Research & Technologies Limited,KINDRED GROUP PLC,SE0007871645,"0,5",2022-04-08,
WORLDQUANT LLC,BICO Group AB,SE0013647385,"<0,5",2022-04-08,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"<0,5",2022-04-08,
Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,"0,68",2022-04-08,
Citadel Advisors LLC,Securitas AB,SE0000163594,"<0,5",2022-04-08,
Sylebra Capital Limited,Fingerprint Cards AB,SE0008374250,"6,6",2022-04-08,
Voleon Capital Management LP,Tobii AB,SE0002591420,"0,59",2022-04-08,
Arrowstreet Capital Limited Partnership,Dometic Group AB (publ),SE0007691613,"0,52",2022-04-07,
AKO Capital LLP,Aktiebolaget Electrolux,SE0016589188,"1,79",2022-04-07,
Marshall Wace LLP,Securitas AB,SE0000163594,"0,89",2022-04-07,
Marshall Wace LLP,Husqvarna AB,SE0001662230,"0,79",2022-04-07,
Franklin Templeton Investment Management Limited,Storytel AB (publ),SE0007439443,"0,8",2022-04-07,
ALCUR FONDER AB,JM AB,SE0000806994,"0,72",2022-04-07,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Securitas AB,SE0000163594,"<0,5",2022-04-07,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"0,52",2022-04-07,
Citadel Advisors Europe Limited,Aktiebolaget Electrolux,SE0016589188,"0,82",2022-04-07,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"0,94",2022-04-07,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"0,79",2022-04-07,
Sandbar Asset Management LLP,"AUTOLIV, INC.",SE0000382335,"1,1",2022-04-07,
Citadel Advisors LLC,Securitas AB,SE0000163594,"0,53",2022-04-07,
Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,"0,7",2022-04-07,
Voleon Capital Management LP,G5 Entertainment AB (publ),SE0001824004,"0,54",2022-04-07,
Arrowstreet Capital Limited Partnership,Boozt AB,SE0009888738,"0,59",2022-04-06,
Arrowstreet Capital Limited Partnership,Hansa Biopharma AB,SE0002148817,"0,77",2022-04-06,
Kintbury Capital LLP,Aktiebolaget Electrolux,SE0016589188,"0,5",2022-04-06,
WORLDQUANT LLC,Tobii AB,SE0002591420,"0,69",2022-04-06,
Marshall Wace LLP,Trelleborg AB,SE0000114837,"0,51",2022-04-06,
Marshall Wace LLP,Hexatronic Group AB,SE0002367797,"1,49",2022-04-06,
WORLDQUANT LLC,Tethys Oil AB,SE0015949847,"0,61",2022-04-06,
WORLDQUANT LLC,Hansa Biopharma AB,SE0002148817,"<0,5",2022-04-06,
WORLDQUANT LLC,BHG Group AB,SE0010948588,"<0,5",2022-04-06,
CapeView Capital LLP,BICO Group AB,SE0013647385,"0,73",2022-04-06,
Sandbar Asset Management LLP,Aktiebolaget Electrolux,SE0016589188,"1,06",2022-04-06,
Sandbar Asset Management LLP,Husqvarna AB,SE0001662230,"0,9",2022-04-06,
